run_id,iteration,budget,performance,hp_config.clip_eps,hp_config.ent_coef,hp_config.gae_lambda,hp_config.learning_rate,hp_config.max_grad_norm,hp_config.minibatch_size,hp_config.normalize_advantage,hp_config.vf_clip_eps,hp_config.vf_coef
0,0,10000,0.9651952981948853,0.14242025963563665,0.17469594083652906,0.8965722648235621,0.021210897817768224,0.9090588133253932,64,True,0.23632702265971858,0.9691275761479583
1,0,10000,0.9238749742507935,0.06475041378820376,0.27845762621123116,0.8,0.001926959344373455,1.0,128,False,0.13582189458798938,0.3718691486180662
2,0,10000,0.12324219197034836,0.4915583979280068,0.2488866389411763,0.9999,0.08045684441249895,0.24261714944588897,128,True,0.4490957057508245,0.45668178294235384
3,0,10000,0.9462109804153442,0.32000000000000006,0.43024036691404227,0.9999,0.007567944521403409,0.5766999785210533,64,True,0.06357137494247662,0.08710493744611233
4,0,10000,0.4008437395095825,0.5,0.25379518391911765,0.8,1.9843135229436623e-05,0.006438464454461546,64,False,0.4547887613089334,0.3576658736441318
5,0,10000,0.8696328401565552,0.5,0.3569068355035394,0.8,5.774297982551142e-05,0.904571965288076,32,False,0.3382162338904624,0.5858572862356084
6,0,10000,0.9447343349456787,0.3837078305793098,0.025456308385185793,0.8,5.8659425395500315e-05,0.1758201572113168,128,False,0.12655810771751289,0.7557444858719571
7,0,10000,0.7700156569480896,0.06393273356724591,0.02968294269326744,0.96,0.03285235402166078,1.0,64,True,0.02629980009295496,0.24205090891803527
8,0,10000,0.04624218866229057,0.5,0.35027277538809753,0.9999,0.006375258199642045,1.0,32,True,0.12928990028709297,0.25720014572749617
9,0,10000,0.9694843292236328,0.0773849270019817,0.32000000000000006,0.912912440660928,0.04790314514867666,0.5315402606361931,128,True,0.42585541848824227,1.0
10,0,10000,0.5261249542236328,0.4421758459735513,0.32449806027248806,0.8,0.0004155840901903741,0.9840385687709946,32,False,0.05355465048051431,0.7632744384123976
11,0,10000,0.823437511920929,0.24881533482068108,0.008051015688549023,0.8,0.006601290031402181,0.19406565461236294,32,False,0.08408014641771999,0.14872562120286104
12,0,10000,0.0,0.14880704205169887,0.09375899044923147,0.8,0.01076612611298508,0.2682623502113233,128,False,0.05696887346024644,0.7915692807939588
13,0,10000,0.0,0.3063746388504184,0.0998629570817574,0.8,1.6851370022821521e-06,0.6142088361417746,128,False,0.31940720322746197,0.4671516526909032
14,0,10000,0.6148124933242798,0.14529303615348027,0.055664980277715236,0.981567426603896,0.0024861612595886286,0.8522406436903436,64,True,0.17766069552914093,0.2589113950200353
15,0,10000,0.9692031145095825,0.3277048938292717,0.4,0.8,6.261207125917854e-06,0.6400000000000001,128,True,0.06001231950732294,0.5504041514699227
16,1,10000,0.8689062595367432,0.14242025963563665,0.17469594083652906,0.8965722648235621,0.021210897817768224,0.9090588133253932,64,True,0.23632702265971858,0.9691275761479583
17,1,10000,0.9675859212875366,0.06475041378820376,0.27845762621123116,0.8,0.001926959344373455,1.0,128,False,0.13582189458798938,0.3718691486180662
18,1,10000,0.47791406512260437,0.4915583979280068,0.2488866389411763,0.9999,0.08045684441249895,0.24261714944588897,128,True,0.4490957057508245,0.45668178294235384
19,1,10000,0.9415702819824219,0.32000000000000006,0.43024036691404227,0.9999,0.007567944521403409,0.5766999785210533,64,True,0.06357137494247662,0.08710493744611233
20,1,10000,0.6614765524864197,0.5,0.25379518391911765,0.8,1.9843135229436623e-05,0.006438464454461546,64,False,0.4547887613089334,0.3576658736441318
21,1,10000,0.8535077571868896,0.5,0.3569068355035394,0.8,5.774297982551142e-05,0.904571965288076,32,False,0.3382162338904624,0.5858572862356084
22,1,10000,0.9415702819824219,0.3837078305793098,0.025456308385185793,0.8,5.8659425395500315e-05,0.1758201572113168,128,False,0.12655810771751289,0.7557444858719571
23,1,10000,0.961117148399353,0.06393273356724591,0.02968294269326744,0.96,0.03285235402166078,1.0,64,True,0.02629980009295496,0.24205090891803527
24,1,10000,0.9679374694824219,0.5,0.35027277538809753,0.9999,0.006375258199642045,1.0,32,True,0.12928990028709297,0.25720014572749617
25,1,10000,0.9674453139305115,0.0773849270019817,0.32000000000000006,0.912912440660928,0.04790314514867666,0.5315402606361931,128,True,0.42585541848824227,1.0
26,1,10000,0.691882848739624,0.4421758459735513,0.32449806027248806,0.8,0.0004155840901903741,0.9840385687709946,32,False,0.05355465048051431,0.7632744384123976
27,1,10000,0.6324062347412109,0.24881533482068108,0.008051015688549023,0.8,0.006601290031402181,0.19406565461236294,32,False,0.08408014641771999,0.14872562120286104
28,1,10000,0.10761718451976776,0.14880704205169887,0.09375899044923147,0.8,0.01076612611298508,0.2682623502113233,128,False,0.05696887346024644,0.7915692807939588
29,1,10000,0.0,0.3063746388504184,0.0998629570817574,0.8,1.6851370022821521e-06,0.6142088361417746,128,False,0.31940720322746197,0.4671516526909032
30,1,10000,0.6078437566757202,0.14529303615348027,0.055664980277715236,0.981567426603896,0.0024861612595886286,0.8522406436903436,64,True,0.17766069552914093,0.2589113950200353
31,1,10000,0.8872030973434448,0.3277048938292717,0.4,0.8,6.261207125917854e-06,0.6400000000000001,128,True,0.06001231950732294,0.5504041514699227
32,2,10000,0.8338515758514404,0.14242025963563665,0.17469594083652906,0.8965722648235621,0.021210897817768224,0.9090588133253932,64,True,0.23632702265971858,0.9691275761479583
33,2,10000,0.9673047065734863,0.06475041378820376,0.27845762621123116,0.8,0.001926959344373455,1.0,128,False,0.13582189458798938,0.3718691486180662
34,2,10000,0.9654765129089355,0.4915583979280068,0.2488866389411763,0.9999,0.08045684441249895,0.24261714944588897,128,True,0.4490957057508245,0.45668178294235384
35,2,10000,0.9111562967300415,0.32000000000000006,0.43024036691404227,0.9999,0.007567944521403409,0.5766999785210533,64,True,0.06357137494247662,0.08710493744611233
36,2,10000,0.9088124632835388,0.5,0.25379518391911765,0.8,1.9843135229436623e-05,0.006438464454461546,64,False,0.4547887613089334,0.3576658736441318
37,2,10000,0.9507109522819519,0.5,0.3569068355035394,0.8,5.774297982551142e-05,0.904571965288076,32,False,0.3382162338904624,0.5858572862356084
38,2,10000,0.8765234351158142,0.3837078305793098,0.025456308385185793,0.8,5.8659425395500315e-05,0.1758201572113168,128,False,0.12655810771751289,0.7557444858719571
39,2,10000,0.961117148399353,0.06393273356724591,0.02968294269326744,0.96,0.03285235402166078,1.0,64,True,0.02629980009295496,0.24205090891803527
40,2,10000,0.9673047065734863,0.5,0.35027277538809753,0.9999,0.006375258199642045,1.0,32,True,0.12928990028709297,0.25720014572749617
41,2,10000,0.9684999585151672,0.0773849270019817,0.32000000000000006,0.912912440660928,0.04790314514867666,0.5315402606361931,128,True,0.42585541848824227,1.0
42,2,10000,0.6470468640327454,0.4421758459735513,0.32449806027248806,0.8,0.0004155840901903741,0.9840385687709946,32,False,0.05355465048051431,0.7632744384123976
43,2,10000,0.8912890553474426,0.24881533482068108,0.008051015688549023,0.8,0.006601290031402181,0.19406565461236294,32,False,0.08408014641771999,0.14872562120286104
44,2,10000,0.15315625071525574,0.14880704205169887,0.09375899044923147,0.8,0.01076612611298508,0.2682623502113233,128,False,0.05696887346024644,0.7915692807939588
45,2,10000,0.13091406226158142,0.3063746388504184,0.0998629570817574,0.8,1.6851370022821521e-06,0.6142088361417746,128,False,0.31940720322746197,0.4671516526909032
46,2,10000,0.7199687957763672,0.14529303615348027,0.055664980277715236,0.981567426603896,0.0024861612595886286,0.8522406436903436,64,True,0.17766069552914093,0.2589113950200353
47,2,10000,0.9675859212875366,0.3277048938292717,0.4,0.8,6.261207125917854e-06,0.6400000000000001,128,True,0.06001231950732294,0.5504041514699227
48,3,10000,0.9291562438011169,0.14242025963563665,0.17469594083652906,0.8965722648235621,0.021210897817768224,0.9090588133253932,64,True,0.23632702265971858,0.9691275761479583
49,3,10000,0.9684999585151672,0.06475041378820376,0.27845762621123116,0.8,0.001926959344373455,1.0,128,False,0.13582189458798938,0.3718691486180662
50,3,10000,0.5043827891349792,0.4915583979280068,0.2488866389411763,0.9999,0.08045684441249895,0.24261714944588897,128,True,0.4490957057508245,0.45668178294235384
51,3,10000,0.7864297032356262,0.32000000000000006,0.43024036691404227,0.9999,0.007567944521403409,0.5766999785210533,64,True,0.06357137494247662,0.08710493744611233
52,3,10000,0.5242968797683716,0.5,0.25379518391911765,0.8,1.9843135229436623e-05,0.006438464454461546,64,False,0.4547887613089334,0.3576658736441318
53,3,10000,0.954226553440094,0.5,0.3569068355035394,0.8,5.774297982551142e-05,0.904571965288076,32,False,0.3382162338904624,0.5858572862356084
54,3,10000,0.9511327743530273,0.3837078305793098,0.025456308385185793,0.8,5.8659425395500315e-05,0.1758201572113168,128,False,0.12655810771751289,0.7557444858719571
55,3,10000,0.9639296531677246,0.06393273356724591,0.02968294269326744,0.96,0.03285235402166078,1.0,64,True,0.02629980009295496,0.24205090891803527
56,3,10000,0.40400782227516174,0.5,0.35027277538809753,0.9999,0.006375258199642045,1.0,32,True,0.12928990028709297,0.25720014572749617
57,3,10000,0.9679374694824219,0.0773849270019817,0.32000000000000006,0.912912440660928,0.04790314514867666,0.5315402606361931,128,True,0.42585541848824227,1.0
58,3,10000,0.9607656002044678,0.4421758459735513,0.32449806027248806,0.8,0.0004155840901903741,0.9840385687709946,32,False,0.05355465048051431,0.7632744384123976
59,3,10000,0.36726561188697815,0.24881533482068108,0.008051015688549023,0.8,0.006601290031402181,0.19406565461236294,32,False,0.08408014641771999,0.14872562120286104
60,3,10000,0.3196171522140503,0.14880704205169887,0.09375899044923147,0.8,0.01076612611298508,0.2682623502113233,128,False,0.05696887346024644,0.7915692807939588
61,3,10000,0.28385937213897705,0.3063746388504184,0.0998629570817574,0.8,1.6851370022821521e-06,0.6142088361417746,128,False,0.31940720322746197,0.4671516526909032
62,3,10000,0.623046875,0.14529303615348027,0.055664980277715236,0.981567426603896,0.0024861612595886286,0.8522406436903436,64,True,0.17766069552914093,0.2589113950200353
63,3,10000,0.9675859212875366,0.3277048938292717,0.4,0.8,6.261207125917854e-06,0.6400000000000001,128,True,0.06001231950732294,0.5504041514699227
64,4,10000,0.5166249871253967,0.14242025963563665,0.17469594083652906,0.8965722648235621,0.021210897817768224,0.9090588133253932,64,True,0.23632702265971858,0.9691275761479583
65,4,10000,0.9684999585151672,0.06475041378820376,0.27845762621123116,0.8,0.001926959344373455,1.0,128,False,0.13582189458798938,0.3718691486180662
66,4,10000,0.517828106880188,0.4915583979280068,0.2488866389411763,0.9999,0.08045684441249895,0.24261714944588897,128,True,0.4490957057508245,0.45668178294235384
67,4,10000,0.9549999237060547,0.32000000000000006,0.43024036691404227,0.9999,0.007567944521403409,0.5766999785210533,64,True,0.06357137494247662,0.08710493744611233
68,4,10000,0.0,0.5,0.25379518391911765,0.8,1.9843135229436623e-05,0.006438464454461546,64,False,0.4547887613089334,0.3576658736441318
69,4,10000,0.9600625038146973,0.5,0.3569068355035394,0.8,5.774297982551142e-05,0.904571965288076,32,False,0.3382162338904624,0.5858572862356084
70,4,10000,0.9526796340942383,0.3837078305793098,0.025456308385185793,0.8,5.8659425395500315e-05,0.1758201572113168,128,False,0.12655810771751289,0.7557444858719571
71,4,10000,0.6662734746932983,0.06393273356724591,0.02968294269326744,0.96,0.03285235402166078,1.0,64,True,0.02629980009295496,0.24205090891803527
72,4,10000,0.9692031145095825,0.5,0.35027277538809753,0.9999,0.006375258199642045,1.0,32,True,0.12928990028709297,0.25720014572749617
73,4,10000,0.0843203067779541,0.0773849270019817,0.32000000000000006,0.912912440660928,0.04790314514867666,0.5315402606361931,128,True,0.42585541848824227,1.0
74,4,10000,0.4939609169960022,0.4421758459735513,0.32449806027248806,0.8,0.0004155840901903741,0.9840385687709946,32,False,0.05355465048051431,0.7632744384123976
75,4,10000,0.061656251549720764,0.24881533482068108,0.008051015688549023,0.8,0.006601290031402181,0.19406565461236294,32,False,0.08408014641771999,0.14872562120286104
76,4,10000,0.02322656288743019,0.14880704205169887,0.09375899044923147,0.8,0.01076612611298508,0.2682623502113233,128,False,0.05696887346024644,0.7915692807939588
77,4,10000,0.7058906555175781,0.3063746388504184,0.0998629570817574,0.8,1.6851370022821521e-06,0.6142088361417746,128,False,0.31940720322746197,0.4671516526909032
78,4,10000,0.6459296941757202,0.14529303615348027,0.055664980277715236,0.981567426603896,0.0024861612595886286,0.8522406436903436,64,True,0.17766069552914093,0.2589113950200353
79,4,10000,0.9675859212875366,0.3277048938292717,0.4,0.8,6.261207125917854e-06,0.6400000000000001,128,True,0.06001231950732294,0.5504041514699227
80,5,10000,0.959710955619812,0.14242025963563665,0.17469594083652906,0.8965722648235621,0.021210897817768224,0.9090588133253932,64,True,0.23632702265971858,0.9691275761479583
81,5,10000,0.6328281164169312,0.06475041378820376,0.27845762621123116,0.8,0.001926959344373455,1.0,128,False,0.13582189458798938,0.3718691486180662
82,5,10000,0.7201796770095825,0.4915583979280068,0.2488866389411763,0.9999,0.08045684441249895,0.24261714944588897,128,True,0.4490957057508245,0.45668178294235384
83,5,10000,0.564132809638977,0.32000000000000006,0.43024036691404227,0.9999,0.007567944521403409,0.5766999785210533,64,True,0.06357137494247662,0.08710493744611233
84,5,10000,0.0,0.5,0.25379518391911765,0.8,1.9843135229436623e-05,0.006438464454461546,64,False,0.4547887613089334,0.3576658736441318
85,5,10000,0.9661796689033508,0.5,0.3569068355035394,0.8,5.774297982551142e-05,0.904571965288076,32,False,0.3382162338904624,0.5858572862356084
86,5,10000,0.9519765377044678,0.3837078305793098,0.025456308385185793,0.8,5.8659425395500315e-05,0.1758201572113168,128,False,0.12655810771751289,0.7557444858719571
87,5,10000,0.9537343978881836,0.06393273356724591,0.02968294269326744,0.96,0.03285235402166078,1.0,64,True,0.02629980009295496,0.24205090891803527
88,5,10000,0.7460858821868896,0.5,0.35027277538809753,0.9999,0.006375258199642045,1.0,32,True,0.12928990028709297,0.25720014572749617
89,5,10000,0.9148671627044678,0.0773849270019817,0.32000000000000006,0.912912440660928,0.04790314514867666,0.5315402606361931,128,True,0.42585541848824227,1.0
90,5,10000,0.6587343811988831,0.4421758459735513,0.32449806027248806,0.8,0.0004155840901903741,0.9840385687709946,32,False,0.05355465048051431,0.7632744384123976
91,5,10000,0.344601571559906,0.24881533482068108,0.008051015688549023,0.8,0.006601290031402181,0.19406565461236294,32,False,0.08408014641771999,0.14872562120286104
92,5,10000,0.0,0.14880704205169887,0.09375899044923147,0.8,0.01076612611298508,0.2682623502113233,128,False,0.05696887346024644,0.7915692807939588
93,5,10000,0.5946093797683716,0.3063746388504184,0.0998629570817574,0.8,1.6851370022821521e-06,0.6142088361417746,128,False,0.31940720322746197,0.4671516526909032
94,5,10000,0.9599218368530273,0.14529303615348027,0.055664980277715236,0.981567426603896,0.0024861612595886286,0.8522406436903436,64,True,0.17766069552914093,0.2589113950200353
95,5,10000,0.9675859212875366,0.3277048938292717,0.4,0.8,6.261207125917854e-06,0.6400000000000001,128,True,0.06001231950732294,0.5504041514699227
96,6,10000,0.9670937061309814,0.14242025963563665,0.17469594083652906,0.8965722648235621,0.021210897817768224,0.9090588133253932,64,True,0.23632702265971858,0.9691275761479583
97,6,10000,0.1304921805858612,0.06475041378820376,0.27845762621123116,0.8,0.001926959344373455,1.0,128,False,0.13582189458798938,0.3718691486180662
98,6,10000,0.966601550579071,0.4915583979280068,0.2488866389411763,0.9999,0.08045684441249895,0.24261714944588897,128,True,0.4490957057508245,0.45668178294235384
99,6,10000,0.9632265567779541,0.32000000000000006,0.43024036691404227,0.9999,0.007567944521403409,0.5766999785210533,64,True,0.06357137494247662,0.08710493744611233
