run_id,iteration,budget,performance,hp_config.clip_eps,hp_config.ent_coef,hp_config.gae_lambda,hp_config.learning_rate,hp_config.max_grad_norm,hp_config.minibatch_size,hp_config.normalize_advantage,hp_config.vf_clip_eps,hp_config.vf_coef
0,0,10000,0.0,0.1768502157272392,0.15102496386937309,0.9478404445794211,0.06247953932445424,1.0,32,True,0.46887264964841946,0.190035760833517
1,0,10000,0.0,0.32330234621871384,0.06572490491938394,0.9999,0.002362043769211963,0.535387139652621,128,True,0.004579313683907588,0.5058246704678657
2,0,10000,0.0,0.16671075870152646,0.01964028173353294,0.8,0.006729266688583491,0.6799485735845525,64,False,0.2878235487549359,0.642595971396234
3,0,10000,0.0,0.21018912709584994,0.47365528969771487,0.8,4.1410248518727066e-05,0.913397626955123,32,False,0.18249010379293865,0.5986200908329036
4,0,10000,0.0,0.32762470946440675,0.5,0.8,0.002032539805752365,0.06330300535365216,64,False,0.29221071593303916,0.2326675809129195
5,0,10000,0.0,0.06054548859170539,0.107212622719234,0.9945491125718741,3.849531988367424e-05,0.2471331937080516,64,False,0.08985500188026879,0.20213666444612832
6,0,10000,0.0,0.5,0.4526179388049821,0.9999,0.05247503121223941,0.21167096755024645,64,True,0.15291433281018463,0.8
7,0,10000,0.0,0.14328661359637343,0.2479368269254737,0.8,1.305900091756881e-05,0.35738833143624643,64,True,0.5,0.7632960015328022
8,0,10000,0.0,0.09365941587733366,0.24853613961336235,0.8,1.0000000000000004e-06,0.7077733316266479,32,False,0.22736304266836754,0.9023011101867868
9,0,10000,0.0,0.4188378991190875,0.24807191847677612,0.96,1.0468693095900798e-06,0.6928454049370032,64,True,0.38449079224017463,0.7680000000000001
10,0,10000,0.0,0.5,0.20000004335584443,0.8,1.4510523660009516e-06,0.41126224468716477,32,False,0.25621667771999024,0.13911758097083782
11,0,10000,0.0,0.0023928519310210485,0.1255352985315401,0.8,0.0024179186977678468,0.5186380261284113,32,False,0.24899631713763826,0.03210032225409415
12,0,10000,0.0,0.29167734037974397,0.4460862918387101,0.9930385742107973,0.0002366150417855814,0.7534020838283874,128,True,0.36864,0.47224594086285376
13,0,10000,0.0,0.13165389727855595,0.12273588064803637,0.8,0.0009718381241181255,0.7664366506204274,128,False,0.1413528930979827,0.15533851624616868
14,0,10000,0.0,0.1400248946679261,0.4402664180201076,0.8087811087337738,1.3934820536131964e-05,0.4330057109363377,64,False,0.06668903225860592,0.5809172834697919
15,0,10000,0.03046249970793724,0.28883523652381793,0.3724158993427362,0.8,0.033193788451914036,0.07112694241493919,32,True,0.061512586556853266,0.23606897054597442
16,1,10000,0.4011531174182892,0.1768502157272392,0.15102496386937309,0.9478404445794211,0.06247953932445424,1.0,32,True,0.46887264964841946,0.190035760833517
17,1,10000,0.0,0.32330234621871384,0.06572490491938394,0.9999,0.002362043769211963,0.535387139652621,128,True,0.004579313683907588,0.5058246704678657
18,1,10000,0.0,0.16671075870152646,0.01964028173353294,0.8,0.006729266688583491,0.6799485735845525,64,False,0.2878235487549359,0.642595971396234
