run_id,iteration,budget,performance,hp_config.clip_eps,hp_config.ent_coef,hp_config.gae_lambda,hp_config.learning_rate,hp_config.max_grad_norm,hp_config.minibatch_size,hp_config.normalize_advantage,hp_config.vf_clip_eps,hp_config.vf_coef
0,0,20000,-500.0,0.17752202846910575,0.4541939053512406,0.9966837046641482,0.00017372641190139748,0.24478598685895775,64,True,0.3072000000000001,0.1902869358686785
1,0,20000,-500.0,0.26503477781237755,0.4,0.96,4.0057738767164196e-05,0.5175010415553782,32,True,0.009316637540502092,0.2292555531934775
2,0,20000,-498.4140625,0.5,0.2961113615167841,0.8,0.01369072812618706,0.28353292016820136,64,True,0.10429627867479378,0.23814939614949998
3,0,20000,-500.0,0.4,0.24046770666243303,0.9999,0.00041717680229544113,1.0,128,False,0.0979254790310719,0.37947524940341887
4,0,20000,-235.9609375,0.06130268675981766,0.5,0.9999,8.554588300814744e-05,0.0907056836741723,64,False,0.041627845990151305,0.5394463796818522
5,0,20000,-161.0390625,0.34370109406727894,0.09694428414282588,0.96,2.3205608533271942e-05,0.33519584650072104,64,True,0.45547502640242765,0.951825756661429
6,0,20000,-106.1171875,0.09625040920849982,0.07433142584140627,0.8,1.8623762432933108e-06,0.9930654212958601,32,False,0.10003279153966246,0.604873349651196
7,0,20000,-500.0,0.42607091962530635,0.06039010150811245,0.8,0.026066696443813243,0.759103562983111,128,True,0.48,0.4080990043982991
8,0,20000,-159.6015625,0.38469291380407167,0.21872327936947886,0.8,3.255846679860134e-06,0.11583773187129738,32,True,0.3691815349941771,0.19536886541965892
9,0,20000,-500.0,0.2388224284478179,0.1210537429232808,0.9286728176978614,9.4482979623714e-06,0.36687443227468935,64,False,0.048027280745190915,0.8564393756862388
10,0,20000,-500.0,0.3302922899015323,0.1592701807089909,0.9537974625166536,0.003517049547961325,0.2667166552601406,32,False,0.32143109105647777,0.7650454288603104
11,0,20000,-500.0,0.002163675429525688,0.5,0.8,0.006555470022536045,1.0,32,False,0.10802509789632653,0.7910810345653033
12,0,20000,-239.34375,0.34124162204890757,0.2083262042934949,0.8,7.004585058306272e-05,0.96,32,False,0.47179182787937446,0.28409824068589856
