run_id,iteration,budget,performance,hp_config.clip_eps,hp_config.ent_coef,hp_config.gae_lambda,hp_config.learning_rate,hp_config.max_grad_norm,hp_config.minibatch_size,hp_config.normalize_advantage,hp_config.vf_clip_eps,hp_config.vf_coef
0,0,12500.0,369.94219970703125,0.2744067519636624,0.21182739966945235,0.9926361858241558,0.0006921859910208612,0.02021839744032572,128,True,0.26092416087503584,0.45615033221654855
1,1,12500.0,218.38046264648438,0.35759468318620974,0.32294705653332806,0.876649959613273,0.04246031301768214,0.832619845547938,128,False,0.2073309699952618,0.5684339488686485
2,2,12500.0,110.4859390258789,0.30138168803582194,0.21879360563134626,0.9582658351127247,2.265584636656665e-06,0.7781567509498505,64,True,0.13227780605231348,0.018789800436355142
3,3,12500.0,112.9828109741211,0.27244159149844843,0.4458865003910399,0.9057260944586056,2.7267573880087303e-06,0.8700121482468192,128,False,0.38711684471710833,0.6176354970758771
4,4,12500.0,298.80859375,0.3060478613612107,0.30846699843737846,0.9886552408950734,0.002565083431770991,0.359507900573786,64,False,0.030112735814634917,0.6667667154456677
5,5,12500.0,319.8031311035156,0.3353189348090797,0.10519128053692045,0.8257723669012053,3.7769545138788986e-05,0.3637107709426226,64,True,0.4941869190296131,0.10204481074802807
6,6,12500.0,443.1820373535156,0.10443837804741735,0.08065475894249813,0.9305563542605332,1.846962223200756e-05,0.4663107728563063,32,True,0.05518757058215257,0.6563295894652734
7,7,12500.0,430.38983154296875,0.0690914756743069,0.09829118084002675,0.8737081616151268,0.012734038226347204,0.09710127579306127,128,True,0.4882297325066979,0.4686512016477016
8,8,25000.0,115.7476577758789,0.30138168803582194,0.21879360563134626,0.9582658351127247,2.265584636656665e-06,0.7781567509498505,64,True,0.13227780605231348,0.018789800436355142
9,9,25000.0,116.01249694824219,0.27244159149844843,0.4458865003910399,0.9057260944586056,2.7267573880087303e-06,0.8700121482468192,128,False,0.38711684471710833,0.6176354970758771
10,10,25000.0,237.5398406982422,0.35759468318620974,0.32294705653332806,0.876649959613273,0.04246031301768214,0.832619845547938,128,False,0.2073309699952618,0.5684339488686485
11,11,25000.0,322.3140563964844,0.3060478613612107,0.30846699843737846,0.9886552408950734,0.002565083431770991,0.359507900573786,64,False,0.030112735814634917,0.6667667154456677
12,12,50000.0,126.07499694824219,0.30138168803582194,0.21879360563134626,0.9582658351127247,2.265584636656665e-06,0.7781567509498505,64,True,0.13227780605231348,0.018789800436355142
13,13,50000.0,123.97734069824219,0.27244159149844843,0.4458865003910399,0.9057260944586056,2.7267573880087303e-06,0.8700121482468192,128,False,0.38711684471710833,0.6176354970758771
14,14,100000.0,139.73281860351562,0.27244159149844843,0.4458865003910399,0.9057260944586056,2.7267573880087303e-06,0.8700121482468192,128,False,0.38711684471710833,0.6176354970758771
15,15,25000.0,92.64530944824219,0.05936385947712203,0.04697025537922084,0.8366199532652226,0.0647057276719561,0.8464086724711278,128,True,0.2954363806240866,0.8919233550156721
